player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Zach Horton,148361,TE,DET,2,0,11,57.1,100.0,3,33.3,3,56.5,0,100.0,9,9,58.4,100.0,6,66.7,6
Tyson Bagent,169628,QB,CHI,2,0,6,60.0,100.0,1,12.5,1,60.0,0,88.9,8,9,60.0,100.0,6,75.0,6
Charlie Jones,55038,WR,CIN,3,0,7,60.6,100.0,4,50.0,4,34.6,0,100.0,8,8,60.1,100.0,4,50.0,4
Calvin Anderson,46247,T,PIT,1,0,25,60.0,100.0,2,25.0,2,62.5,0,100.0,8,8,51.0,100.0,4,50.0,4
Terrell Jennings,102408,HB,NE,5,0,19,,0.0,0,0.0,19,60.0,0,25.8,8,31,,0.0,0,0.0,4
Luke Newman,143066,G,CHI,2,0,6,59.9,100.0,2,25.0,2,74.6,0,100.0,8,8,66.3,100.0,4,50.0,4
Anthony Richardson,124393,QB,IND,2,0,14,60.0,100.0,6,75.0,6,60.0,0,66.7,8,12,60.0,100.0,2,25.0,2
Bryce Oliver,84248,WR,TEN,2,0,31,61.1,100.0,6,75.0,6,60.9,0,100.0,8,8,60.0,100.0,1,12.5,1
Steven Sims,48341,WR,ARZ,3,0,1,58.0,100.0,5,62.5,5,58.8,0,100.0,8,8,60.2,100.0,3,37.5,3
Will Mallory,77888,TE,IND,2,0,14,60.2,100.0,5,62.5,5,59.8,0,100.0,8,8,58.9,100.0,2,25.0,2
Cooper DeJean,144867,CB,PHI,5,0,24,,,0,0.0,0,60.0,0,100.0,8,8,,,0,0.0,0
Jason Brownlee,121451,WR,KC,4,0,16,60.0,100.0,1,12.5,1,60.3,0,100.0,8,8,59.2,100.0,3,37.5,3
Jacoby Jones,157518,WR,WAS,1,0,32,60.0,100.0,3,37.5,3,86.4,0,100.0,8,8,85.7,100.0,5,62.5,5
Evan Hull,97302,HB,NO,6,0,20,60.0,10.0,1,12.5,10,60.3,0,28.6,8,28,60.0,8.3,1,12.5,12
Ke'Shawn Williams,123406,WR,CIN,4,0,7,59.8,100.0,1,12.5,1,60.4,0,80.0,8,10,60.0,100.0,4,50.0,4
Tahj Brooks,123133,HB,CIN,6,0,7,,0.0,0,0.0,4,60.0,0,33.3,8,24,,0.0,0,0.0,12
Russell Gage,44771,WR,SF,1,0,28,59.7,100.0,2,25.0,2,58.2,0,100.0,8,8,57.9,100.0,4,50.0,4
Jacob Saylors,87559,HB,DET,4,0,11,,0.0,0,0.0,1,59.8,0,77.8,7,9,,0.0,0,0.0,1
Jalen Moreno-Cropper,97273,WR,DAL,2,0,9,59.8,100.0,2,28.6,2,60.6,1,100.0,7,7,60.0,100.0,2,28.6,2
Treyton Welch,98097,TE,NO,3,0,20,60.0,100.0,1,14.3,1,57.1,0,100.0,7,7,56.5,100.0,5,71.4,5
Brayden Willis,77917,TE,SF,5,0,28,60.0,100.0,1,14.3,1,60.0,0,100.0,7,7,60.0,100.0,1,14.3,1
